date,fai_complete
2016-03-31,85842.8332
2016-04-30,132591.9525
2016-05-31,187670.982
2016-06-30,258359.9564
2016-07-31,311694.3331
2016-08-31,366339.1868
2016-09-30,426906.441
2016-10-31,484429.0177
2016-11-30,538547.98
2016-12-31,596500.752
2017-02-28,41377.8884
2017-03-31,93777.0557
2017-04-30,144326.8423
2017-05-31,203718.2668
2017-06-30,280604.8292
2017-07-31,337409.4861
2017-08-31,394150.13
2017-09-30,458478.1785
