date,ltlp
2011-11-30,0.59610746
2011-12-31,0.590945298
2012-01-31,0.590140207
2012-02-29,0.58643153
2012-03-31,0.580798366
2012-04-30,0.577231787
2012-05-31,0.574017638
2012-06-30,0.569830462
2012-07-31,0.568204365
2012-08-31,0.566332801
2012-09-30,0.565327276
2012-10-31,0.565294686
2012-11-30,0.562948391
2012-12-31,0.560250864
2013-01-31,0.560021722
2013-02-28,0.56115619
2013-03-31,0.558460748
2013-04-30,0.557914453
2013-05-31,0.557932305
2013-06-30,0.556422103
2013-07-31,0.557132115
2013-08-31,0.557508447
2013-09-30,0.557486769
2013-10-31,0.557703729
2013-11-30,0.556572115
2013-12-31,0.554775787
2014-01-31,0.555902978
2014-02-28,0.556657115
2014-03-31,0.555836405
2014-04-30,0.556924477
2014-05-31,0.557773984
2014-06-30,0.556003603
2014-07-31,0.558238051
2014-08-31,0.558715937
2014-09-30,0.558301791
2014-10-31,0.558757798
2014-11-30,0.558688812
2014-12-31,0.562559918
2015-01-31,0.560195323
2015-02-28,0.561571037
2015-03-31,0.560025402
2015-04-30,0.560463774
2015-05-31,0.559963707
2015-06-30,0.558701872
2015-07-31,0.553781176
2015-08-31,0.553329318
2015-09-30,0.5544235
2015-10-31,0.555145469
2015-11-30,0.555851227
2015-12-31,0.559198672
2016-01-31,0.560350186
2016-02-29,0.563200247
2016-03-31,0.564914915
2016-04-30,0.565633015
2016-05-31,0.567162784
2016-06-30,0.569021399
2016-07-31,0.572600254
2016-08-31,0.572380982
2016-09-30,0.57555772
2016-10-31,0.57734352
2016-11-30,0.580301411
2016-12-31,0.58511516
2017-01-31,0.594507941
2017-02-28,0.597140912
2017-03-31,0.60063415
2017-04-30,0.603379596
2017-05-31,0.60515993
2017-06-30,0.606312836
2017-07-31,0.609667819
2017-08-31,0.61091408
2017-09-30,0.612627548
