date,ib30
1998-01-31,8.78
1998-02-28,8.64
1998-03-31,8.58
1998-04-30,6.8
1998-05-31,7.81
1998-06-30,6.47
1998-07-31,4.92
1998-08-31,4.98
1998-09-30,5.3
1998-10-31,6.7
1998-11-30,7.59
1998-12-31,4.48
1999-01-31,4.32
1999-02-28,4.34
1999-03-31,4.32
1999-04-30,5.58
1999-05-31,5.15
1999-06-30,3.76
1999-07-31,2.74
1999-08-31,2.66
1999-09-30,2.7
1999-10-31,2.72
1999-11-30,6.33
1999-12-31,5.09
2000-01-31,2.64
2000-02-29,2.56
2000-03-31,2.54
2000-04-30,2.48
2000-05-31,2.42
2000-06-30,2.5
2000-07-31,2.44
2000-08-31,2.69
2000-09-30,2.65
2000-10-31,2.74
2000-11-30,2.49
2000-12-31,3.02
2001-01-31,2.64
2001-02-28,2.68
2001-03-31,3.5
2001-04-30,3.01
2001-05-31,3.08
2001-06-30,2.82
2001-07-31,3.21
2001-08-31,2.52
2001-09-30,2.66
2001-10-31,3.15
2001-11-30,2.9
2001-12-31,3.31
2002-01-31,2.71
2002-02-28,2.77
2002-03-31,2.39
2002-04-30,2.7
2002-05-31,2.12
2002-06-30,2.16
2002-07-31,2.51
2002-08-31,2.18
2002-09-30,2.19
2002-10-31,2.45
2002-11-30,2.32
2002-12-31,2.24
2003-01-31,2.3
2003-02-28,2.36
2003-03-31,2.37
2003-04-30,2.02
2003-05-31,2.14
2003-06-30,2.21
2003-07-31,2.35
2003-08-31,2.81
2003-09-30,2.84
2003-10-31,3.29
2003-11-30,3.16
2003-12-31,2.94
2004-01-31,3.22
2004-02-29,2.47
2004-03-31,2.76
2004-04-30,2.62
2004-05-31,2.76
2004-06-30,2.98
2004-07-31,2.91
2004-08-31,3.34
2004-09-30,3.34
2004-10-31,3.03
2004-11-30,3.36
2004-12-31,2.31
2005-01-31,2.4
2005-02-28,2.57
2005-03-31,3.05
2005-04-30,2.12
2005-05-31,2.31
2005-06-30,2.35
2005-07-31,1.54
2005-08-31,1.91
2005-09-30,1.84
2005-10-31,1.86
2005-11-30,1.58
2005-12-31,2.09
2006-01-31,1.82
2006-02-28,1.85
2006-03-31,2.01
2006-04-30,1.84
2006-05-31,1.98
2006-06-30,2.54
2006-07-31,2.59
2006-08-31,2.95
2006-09-30,2.66
2006-10-31,2.77
2006-11-30,3.33
2006-12-31,2.61
2007-01-31,2.47
2007-02-28,2.67
2007-03-31,2.55
2007-04-30,2.99
2007-05-31,2.83
2007-06-30,3.08
2007-07-31,3.11
2007-08-31,3.08
2007-09-30,5.59
2007-10-31,3.94
2007-11-30,5.5
2007-12-31,5.07
2008-01-31,3.59
2008-02-29,3.24
2008-03-31,3.16
2008-04-30,3.35
2008-05-31,3.4
2008-06-30,3.8
2008-07-31,3.37
2008-08-31,3.45
2008-09-30,3.47
2008-10-31,3.38
2008-11-30,2.99
2008-12-31,1.42
2009-01-31,1.25
2009-02-28,1.12
2009-03-31,1.04
2009-04-30,1.06
2009-05-31,1.08
2009-06-30,1.1
2009-07-31,1.5
2009-08-31,1.72
2009-09-30,1.67
2009-10-31,1.7
2009-11-30,1.72
2009-12-31,1.73
2010-01-31,1.74
2010-02-28,1.91
2010-03-31,1.82
2010-04-30,1.82
2010-05-31,2
2010-06-30,3.45
2010-07-31,2.55
2010-08-31,2.11
2010-09-30,3.0992
2010-10-31,2.6073
2010-11-30,2.8921
2010-12-31,4.2351
2011-01-31,5.4471
2011-02-28,4.9785
2011-03-31,3.841
2011-04-30,4.0311
2011-05-31,4.2544
2011-06-30,5.7735
2011-07-31,6.3143
2011-08-31,5.395
2011-09-30,5.751
2011-10-31,5.4193
2011-11-30,5.0073
2011-12-31,4.8127
2012-01-31,6.0415
2012-02-29,5.031
2012-03-31,4.2137
2012-04-30,4.0501
2012-05-31,3.5788
2012-06-30,3.1456
2012-07-31,3.9325
2012-08-31,3.6393
2012-09-30,4.0254
2012-10-31,3.8795
2012-11-30,3.769
2012-12-31,4.0853
2013-01-31,3.8874
2013-02-28,4.1568
2013-03-31,3.415
2013-04-30,3.6568
2013-05-31,3.8817
2013-06-30,6.792
2013-07-31,5.2311
2013-08-31,4.6706
2013-09-30,5.1831
2013-10-31,5.2607
2013-11-30,5.7517
2013-12-31,5.8178
2014-01-31,6.0743
2014-02-28,5.1474
2014-03-31,4.0359
2014-04-30,3.8984
2014-05-31,3.7669
2014-06-30,4.5334
2014-07-31,4.385
2014-08-31,3.9043
2014-09-30,4.1471
2014-10-31,3.8866
2014-11-30,4.0077
2014-12-31,5.7999
2015-01-31,4.9525
2015-02-28,5.4298
2015-03-31,5.2216
2015-04-30,4.1935
2015-05-31,2.796
2015-06-30,3.2467
2015-07-31,3.2603
2015-08-31,2.8305
2015-09-30,3.1442
2015-10-31,3.1998
2015-11-30,2.7279
2015-12-31,2.8957
2016-01-31,3.0157
2016-02-29,2.99
2016-03-31,2.8637
2016-04-30,2.8938
2016-05-31,2.6879
2016-06-30,2.9594
2016-07-31,2.7554
2016-08-31,2.6299
2016-09-30,2.9699
2016-10-31,2.9092
2016-11-30,3.0302
2016-12-31,3.8442
2017-01-31,3.6938
2017-02-28,4.1529
2017-03-31,4.3871
2017-04-30,4.1258
2017-05-31,4.1271
2017-06-30,4.9073
2017-07-31,3.8856
2017-08-31,3.6742
2017-09-30,4.1885
