date,fai_source
2014-02-28,54927.3568
2014-03-31,95743.7992
2014-04-30,137131.7095
2014-05-31,185835.0847
2014-06-30,246051.376
2014-07-31,292733.5266
2014-08-31,340080.7082
2014-09-30,391140.6015
2014-10-31,439059.2388
2014-11-30,481887.6122
2014-12-31,530833.1476
2015-02-28,58614.7762
2015-03-31,102671.858
2015-04-30,146177.1949
2015-05-31,196926.9942
2015-06-30,261506.9923
2015-07-31,312572.2283
2015-08-31,363140.6273
2015-09-30,417716.997
2015-10-31,471059.4337
2015-11-30,520145.0991
2015-12-31,573788.9662
2016-02-29,59324.4917
2016-03-31,109249.6618
2016-04-30,158076.9552
2016-05-31,212521.267
2016-06-30,282443.334
2016-07-31,336169.0414
2016-08-31,385535.4327
2016-09-30,442238.2753
2016-10-31,496675.2623
2016-11-30,548462.1667
2016-12-31,606968.5868
2017-02-28,54575.1751
2017-03-31,106081.1275
2017-04-30,155792.684
2017-05-31,212280.8471
2017-06-30,286274.5542
2017-07-31,341073.4994
2017-08-31,396206.5749
2017-09-30,457006.9954
